profile_id,country_name,country_code,Q45,Q46,Q57,Q184,Q218,Q254
1,CAN,20,1.00,2.00,2.00,1.00,1.00,2.00
2,CAN,20,2.00,2.00,2.00,5.00,2.00,1.00
3,CAN,20,2.00,3.00,2.00,10.00,2.00,2.00
4,CAN,20,2.00,2.00,2.00,3.00,2.00,2.00
5,CAN,20,3.00,4.00,2.00,5.00,1.00,1.00
6,CAN,20,1.00,2.00,1.00,5.00,1.00,2.00
7,CAN,20,1.00,1.00,1.00,5.00,2.00,1.00
8,CAN,20,2.00,2.00,2.00,5.00,2.00,5.00
9,CAN,20,1.00,2.00,2.00,10.00,1.00,1.00
10,CAN,20,3.00,2.00,2.00,5.00,1.00,2.00
11,CAN,20,2.00,2.00,1.00,5.00,2.00,1.00
12,CAN,20,2.00,1.00,1.00,10.00,1.00,1.00
13,CAN,20,2.00,2.00,1.00,10.00,1.00,1.00
14,CAN,20,1.00,1.00,2.00,8.00,1.00,1.00
15,CAN,20,3.00,2.00,1.00,10.00,1.00,3.00
16,CAN,20,1.00,1.00,1.00,7.00,2.00,1.00
17,CAN,20,2.00,2.00,1.00,6.00,2.00,1.00
18,CAN,20,3.00,2.00,2.00,5.00,2.00,2.00
19,CAN,20,1.00,3.00,2.00,10.00,1.00,1.00
20,CAN,20,1.00,2.00,1.00,10.00,1.00,1.00
21,CAN,20,2.00,2.00,2.00,10.00,1.00,1.00
22,CAN,20,2.00,2.00,1.00,1.00,2.00,2.00
23,CAN,20,1.00,2.00,2.00,6.00,2.00,5.00
24,CAN,20,2.00,2.00,2.00,5.00,1.00,2.00
25,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
26,CAN,20,2.00,1.00,1.00,9.00,2.00,2.00
27,CAN,20,3.00,2.00,1.00,10.00,1.00,1.00
28,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
29,CAN,20,1.00,2.00,1.00,9.00,3.00,1.00
30,CAN,20,1.00,2.00,2.00,10.00,1.00,1.00
