profile_id,country_name,country_code,Q45,Q46,Q57,Q184,Q218,Q254
1,CAN,20,2.00,2.00,2.00,7.67,2.00,1.33
2,CAN,20,1.67,2.00,2.00,7.00,1.67,2.00
3,CAN,20,1.67,2.00,2.00,7.00,1.00,2.00
4,CAN,20,2.00,2.00,2.00,7.33,1.67,2.00
5,CAN,20,2.00,2.00,2.00,7.33,1.33,2.00
6,CAN,20,2.00,2.00,2.00,7.00,1.33,1.67
7,CAN,20,2.00,2.00,2.00,7.67,1.00,2.00
8,CAN,20,2.00,2.00,2.00,7.33,1.00,1.67
9,CAN,20,2.00,2.00,2.00,7.33,1.00,2.00
10,CAN,20,2.00,2.00,2.00,7.00,1.00,2.00
11,CAN,20,2.00,2.00,2.00,7.33,1.67,2.00
12,CAN,20,2.00,2.00,2.00,7.33,1.67,2.00
13,CAN,20,1.33,2.00,2.00,7.00,1.33,1.67
14,CAN,20,2.00,2.00,2.00,7.33,1.33,2.00
15,CAN,20,1.33,2.00,2.00,7.67,1.00,1.00
16,CAN,20,2.00,2.00,2.00,7.67,1.33,1.67
17,CAN,20,1.67,2.00,2.00,7.00,1.33,1.67
18,CAN,20,1.67,2.00,2.00,7.33,1.33,2.00
19,CAN,20,1.67,2.00,2.00,7.00,1.67,2.00
20,CAN,20,1.67,2.00,2.00,7.00,1.67,1.67
21,CAN,20,1.67,2.00,2.00,8.00,1.67,1.67
22,CAN,20,1.67,2.00,2.00,7.33,1.33,1.67
23,CAN,20,1.67,2.00,2.00,7.00,1.33,2.00
24,CAN,20,1.67,2.00,2.00,8.00,1.67,1.67
25,CAN,20,1.67,2.00,2.00,7.33,1.33,2.00
26,CAN,20,1.67,2.00,2.00,7.00,1.00,1.33
27,CAN,20,1.67,2.00,2.00,7.00,1.67,1.67
28,CAN,20,1.67,2.00,2.00,7.33,1.00,2.00
29,CAN,20,2.00,2.00,2.00,7.00,1.33,2.00
30,CAN,20,2.00,2.00,2.00,7.67,1.00,2.00
31,CAN,20,1.67,2.00,2.00,7.67,1.67,1.67
32,CAN,20,2.00,2.00,2.00,7.67,1.67,1.67
33,CAN,20,2.00,2.00,2.00,7.33,1.33,1.67
34,CAN,20,1.67,2.00,2.00,7.33,1.67,2.00
35,CAN,20,2.00,2.00,2.00,7.33,1.33,2.00
36,CAN,20,1.67,2.00,2.00,7.33,1.00,2.00
37,CAN,20,1.67,2.00,2.00,7.33,1.00,2.00
38,CAN,20,1.67,2.00,2.00,7.67,1.33,1.67
39,CAN,20,1.67,2.00,2.00,7.33,1.33,2.00
40,CAN,20,1.67,2.00,2.33,7.33,1.00,2.00
41,CAN,20,2.00,2.00,2.00,7.00,1.00,2.00
