character_id,country_name,country_code,Q45,Q46,Q57,Q184,Q218,Q254
1,CAN,840,3.00,2.00,2.00,7.67,2.00,1.00
10,CAN,840,3.00,1.67,2.00,7.00,2.00,1.00
100,CAN,840,3.00,2.33,4.00,5.00,1.67,1.33
101,CAN,840,3.00,1.67,2.00,9.67,2.00,2.00
102,CAN,840,1.67,1.33,2.00,7.00,2.00,1.00
103,CAN,840,2.33,2.00,2.00,7.00,2.00,1.00
104,CAN,840,3.00,1.67,2.00,8.00,2.00,1.00
105,CAN,840,2.00,2.00,2.00,7.00,2.00,1.33
106,CAN,840,3.00,2.00,2.00,8.33,2.00,1.00
107,CAN,840,2.00,1.33,2.00,5.67,2.00,1.00
108,CAN,840,2.00,1.33,2.00,5.33,2.00,1.00
109,CAN,840,3.00,2.00,2.00,8.00,2.00,1.67
11,CAN,840,2.67,1.00,2.00,8.00,2.00,1.00
110,CAN,840,1.67,2.00,2.00,5.00,2.00,1.00
12,CAN,840,2.00,1.67,2.00,7.00,2.00,1.00
13,CAN,840,2.00,2.00,2.00,8.00,2.00,1.00
14,CAN,840,3.00,2.00,2.00,8.00,2.00,2.00
15,CAN,840,1.67,2.00,2.00,5.67,2.00,1.00
16,CAN,840,2.67,2.00,2.00,7.67,2.00,1.00
17,CAN,840,3.00,1.00,2.00,8.33,2.00,1.00
18,CAN,840,3.00,2.00,2.00,9.33,2.00,2.00
19,CAN,840,3.00,2.00,2.00,7.33,2.00,1.00
2,CAN,840,3.00,2.00,2.00,4.67,2.00,2.00
20,CAN,840,2.00,2.00,2.00,5.00,2.00,1.00
21,CAN,840,3.00,1.67,2.00,9.00,2.00,1.33
22,CAN,840,1.00,1.67,2.00,5.00,2.00,1.00
23,CAN,840,3.00,1.00,2.00,8.00,2.00,2.00
24,CAN,840,2.67,2.00,3.00,5.00,2.00,1.00
25,CAN,840,3.00,1.67,2.00,7.00,2.00,1.00
26,CAN,840,1.00,2.00,2.00,5.00,2.00,1.00
27,CAN,840,1.00,2.00,2.00,8.00,2.00,1.00
28,CAN,840,1.67,1.00,2.00,7.00,2.00,1.00
29,CAN,840,1.00,2.00,2.00,5.00,2.67,1.00
3,CAN,840,2.00,1.00,2.00,5.00,2.00,1.00
30,CAN,840,1.00,1.67,2.00,6.67,2.00,1.00
31,CAN,840,2.33,2.00,2.00,7.00,2.00,1.00
32,CAN,840,1.33,2.00,2.00,7.00,2.00,1.00
