Country,Question,Our Value,Survey Value,LLM Value,Our-Survey Diff,LLM-Survey Diff,LLM-Our Diff,Abs Our-Survey Diff,Abs LLM-Survey Diff,Abs LLM-Our Diff
0,Q184,6.0,1.0,7.67,5.0,6.67,1.67,5.0,6.67,1.67
0,Q218,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
0,Q254,1.0,2.0,1.33,-1.0,-0.67,0.33,1.0,0.67,0.33
0,Q45,1.67,1.0,2.0,0.67,1.0,0.33,0.67,1.0,0.33
0,Q46,1.0,2.0,2.0,-1.0,0.0,1.0,1.0,0.0,1.0
0,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Q184,5.0,5.0,7.0,0.0,2.0,2.0,0.0,2.0,2.0
1,Q218,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
1,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
1,Q45,1.0,2.0,1.67,-1.0,-0.33,0.67,1.0,0.33,0.67
1,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Q57,2.33,2.0,2.0,0.33,0.0,-0.33,0.33,0.0,0.33
2,Q184,7.0,10.0,7.0,-3.0,-3.0,0.0,3.0,3.0,0.0
2,Q218,2.0,2.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0
2,Q254,1.67,2.0,2.0,-0.33,0.0,0.33,0.33,0.0,0.33
2,Q45,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
2,Q46,2.0,3.0,2.0,-1.0,-1.0,0.0,1.0,1.0,0.0
2,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Q184,5.0,3.0,7.33,2.0,4.33,2.33,2.0,4.33,2.33
3,Q218,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
3,Q254,1.67,2.0,2.0,-0.33,0.0,0.33,0.33,0.0,0.33
3,Q45,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Q184,5.0,5.0,7.33,0.0,2.33,2.33,0.0,2.33,2.33
4,Q218,2.0,1.0,1.33,1.0,0.33,-0.67,1.0,0.33,0.67
4,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
4,Q45,1.67,3.0,2.0,-1.33,-1.0,0.33,1.33,1.0,0.33
4,Q46,1.33,4.0,2.0,-2.67,-2.0,0.67,2.67,2.0,0.67
4,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Q184,7.33,5.0,7.0,2.33,2.0,-0.33,2.33,2.0,0.33
5,Q218,2.0,1.0,1.33,1.0,0.33,-0.67,1.0,0.33,0.67
5,Q254,1.0,2.0,1.67,-1.0,-0.33,0.67,1.0,0.33,0.67
5,Q45,2.33,1.0,2.0,1.33,1.0,-0.33,1.33,1.0,0.33
5,Q46,1.67,2.0,2.0,-0.33,0.0,0.33,0.33,0.0,0.33
5,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
6,Q184,6.67,5.0,7.67,1.67,2.67,1.0,1.67,2.67,1.0
6,Q218,2.0,2.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0
6,Q254,1.33,1.0,2.0,0.33,1.0,0.67,0.33,1.0,0.67
6,Q45,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
6,Q46,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
6,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
7,Q184,5.33,5.0,7.33,0.33,2.33,2.0,0.33,2.33,2.0
7,Q218,2.0,2.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0
7,Q254,1.0,5.0,1.67,-4.0,-3.33,0.67,4.0,3.33,0.67
7,Q45,1.33,2.0,2.0,-0.67,0.0,0.67,0.67,0.0,0.67
7,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Q184,5.0,10.0,7.33,-5.0,-2.67,2.33,5.0,2.67,2.33
8,Q218,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
8,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
8,Q45,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
8,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Q184,4.33,5.0,7.0,-0.67,2.0,2.67,0.67,2.0,2.67
9,Q218,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
9,Q254,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
