Q45,Q46,Q57,Q184,Q218,Q254,source,tsne_x,tsne_y,tsne_x_3d,tsne_y_3d,tsne_z_3d
1.0,2.0,2.0,1.0,1.0,2.0,Survey,-69.41562,18.133448,-25.570805,11.366946,0.5538757
2.0,2.0,2.0,5.0,2.0,1.0,Survey,-23.898708,-17.597502,-9.0254345,-7.140642,4.6116915
2.0,3.0,2.0,10.0,2.0,2.0,Survey,45.19647,9.535575,18.003195,5.4188,-0.61802495
2.0,2.0,2.0,3.0,2.0,2.0,Survey,-51.91539,1.6921554,-17.62016,1.0484155,3.248179
3.0,4.0,2.0,5.0,1.0,1.0,Survey,-31.462358,-11.147725,-9.802784,-5.5813465,-12.400513
1.0,2.0,1.0,5.0,1.0,2.0,Survey,-35.882565,14.486217,-11.701126,1.6860322,-7.3552885
1.0,1.0,1.0,5.0,2.0,1.0,Survey,-39.856388,-29.084105,-11.9753275,-12.771595,-0.005401193
2.0,2.0,2.0,5.0,2.0,5.0,Survey,-28.222813,33.606464,-8.4743805,9.952826,3.1297445
1.0,2.0,2.0,10.0,1.0,1.0,Survey,53.422718,-32.48079,23.513988,-3.8426979,10.244828
3.0,2.0,2.0,5.0,1.0,2.0,Survey,-30.759436,23.578222,-10.528001,9.2516985,-4.3403463
2.0,2.0,1.0,5.0,2.0,1.0,Survey,-36.375587,-21.388481,-9.765656,-5.9699206,-1.0286925
2.0,1.0,1.0,10.0,1.0,1.0,Survey,64.52569,-21.30434,18.936432,-11.2904215,-3.7134664
2.0,2.0,1.0,10.0,1.0,1.0,Survey,79.621605,-8.434443,26.306803,-1.766349,-0.9921334
1.0,1.0,2.0,8.0,1.0,1.0,Survey,27.79629,-49.574574,8.12118,-15.212426,4.865225
3.0,2.0,1.0,10.0,1.0,3.0,Survey,34.48997,48.800415,12.573854,10.91093,-5.605338
1.0,1.0,1.0,7.0,2.0,1.0,Survey,-4.1680884,-32.74343,-0.89823836,-16.013441,-2.422877
2.0,2.0,1.0,6.0,2.0,1.0,Survey,-11.536442,-36.539413,-4.9127784,-9.210839,-1.9534882
